State,Constituency Name,Candidate,Party,Winning Margin
Andhra Pradesh,Visakhapatnam,METTA RAMA RAO,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,SRIBHARAT MATHUKUMILI,Telugu Desam,-504247.0
Andhra Pradesh,Visakhapatnam,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,-504247.0
Andhra Pradesh,Visakhapatnam,P. SATYA REDDY,Indian National Congress,-504247.0
Andhra Pradesh,Visakhapatnam,PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,-504247.0
Andhra Pradesh,Visakhapatnam,NOTA,None of the Above,-504247.0
Andhra Pradesh,Visakhapatnam,BIKKAVOLU. CHALAMAJI,Navarang Congress Party,-504247.0
Andhra Pradesh,Visakhapatnam,MALLA SRAVANI,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,LAGUDU. GOVINDA RAO,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,K.A. PAUL,Praja Shanthi Party,-504247.0
Andhra Pradesh,Visakhapatnam,V.N. SATYA NARAYANA,Rashtriya Praja Congress  (Secular),-504247.0
Andhra Pradesh,Visakhapatnam,CHAPPIDI RAMU,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,KOLLI NAGA RAJU,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,-504247.0
Andhra Pradesh,Visakhapatnam,P. SATYA VANI,Pyramid Party of India,-504247.0
Andhra Pradesh,Visakhapatnam,BANNA. RAMESH,Dalita Bahujana Party,-504247.0
Andhra Pradesh,Visakhapatnam,DR. GANAPATHI KONGARAPU.,Republican Party of India (A),-504247.0
Andhra Pradesh,Visakhapatnam,SHANKAR DEVARA YADAV,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,SONDI KRISHNA.,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,VASUPILLI SURESH,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,ARUNA SRI MURALA,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,VENU MADHAV KARRI,Independent,-504247.0
Andhra Pradesh,Visakhapatnam,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,-504247.0
Andhra Pradesh,Visakhapatnam,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,-504247.0
Andhra Pradesh,Visakhapatnam,DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,-504247.0
Andhra Pradesh,Visakhapatnam,GANDIKOTA RAJESH,Navataram Party,-504247.0
Andhra Pradesh,Visakhapatnam,CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,-504247.0
Andhra Pradesh,Visakhapatnam,JALADI VIJAYA KUMARI,Samajwadi Party,-504247.0
Andhra Pradesh,Visakhapatnam,M.G.M. KHAN,Independent,-504247.0
