State,Constituency Name,Candidate,Party,Winning Margin
Telangana,Karimnagar,RAJENDER POTHURI,Independent,-225209.0
Telangana,Karimnagar,NOTA,None of the Above,-225209.0
Telangana,Karimnagar,KOTA SHYAM KUMAR,Independent,-225209.0
Telangana,Karimnagar,ANOSE KATKOORI,Independent,-225209.0
Telangana,Karimnagar,ARUNA THALLAPALLY,Alliance of Democratic Reforms Party,-225209.0
Telangana,Karimnagar,ABBADI BUCHI REDDY,Independent,-225209.0
Telangana,Karimnagar,VINOD KUMAR BOIANAPALLI,Bharat Rashtra Samithi,-225209.0
Telangana,Karimnagar,CHILUVERU SRIKANTH,Dharma Samaj Party,-225209.0
Telangana,Karimnagar,MAREPALLI MOGILAIAH,Bahujan Samaj Party,-225209.0
Telangana,Karimnagar,AKSHAY KUMAR MEKALA,Independent,-225209.0
Telangana,Karimnagar,DEVUNOORI SRINIVASU,Independent,-225209.0
Telangana,Karimnagar,ASHOK PANCHIKA,Social Justice Party of India,-225209.0
Telangana,Karimnagar,GAVVALA LAXMI,Independent,-225209.0
Telangana,Karimnagar,GATTAIAH YADAV BARIGE,Independent,-225209.0
Telangana,Karimnagar,RANAPRATAP GATTU,Socialist Party (India),-225209.0
Telangana,Karimnagar,GUDISHE  MOHAN,Independent,-225209.0
Telangana,Karimnagar,MANASA PERALA,Independent,-225209.0
Telangana,Karimnagar,PODISHETTI SAMMAIAH,Bahujan Mukti Party,-225209.0
Telangana,Karimnagar,VENKATANARSAIAH DYAGALA @ DEGALA,Independent,-225209.0
Telangana,Karimnagar,CHINTHA ANILKUMAR,Pyramid Party of India,-225209.0
Telangana,Karimnagar,CHEEKOTI VARUN KUMAR GUPTA,Telugu Congress Party,-225209.0
Telangana,Karimnagar,RAPOLE RAMKUMAR BHARADWAJ,Independent,-225209.0
Telangana,Karimnagar,VELCHALA RAJENDER RAO,Indian National Congress,-225209.0
Telangana,Karimnagar,JOURNALIST VIKRAM REDDY VEMULAA,Independent,-225209.0
Telangana,Karimnagar,SHIVARATRI SRINIVAS,Independent,-225209.0
Telangana,Karimnagar,BANDI SANJAY KUMAR,Bharatiya Janata Party,-225209.0
Andhra Pradesh,Machilipatnam,APPARAO ENNETI,Independent,-223179.0
Andhra Pradesh,Machilipatnam,GOLLU KRISHNA,Indian National Congress,-223179.0
Andhra Pradesh,Machilipatnam,NOTA,None of the Above,-223179.0
Andhra Pradesh,Machilipatnam,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,-223179.0
Andhra Pradesh,Machilipatnam,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,-223179.0
Andhra Pradesh,Machilipatnam,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,-223179.0
Andhra Pradesh,Machilipatnam,VALLABHANENI NAGA PAVAN KUMAR,Independent,-223179.0
Andhra Pradesh,Machilipatnam,MARADANI K R SWAMY,Jai Maha Bharath Party,-223179.0
Andhra Pradesh,Machilipatnam,GANDHI  DHANEKULA,Independent,-223179.0
Andhra Pradesh,Machilipatnam,PAMULA BALA SOWRYAMMA,Independent,-223179.0
Andhra Pradesh,Machilipatnam,ANUSHA YERUVA,Independent,-223179.0
Andhra Pradesh,Machilipatnam,GUDAVALLI VENKATA KEDARESWARA RAO,Independent,-223179.0
Andhra Pradesh,Machilipatnam,JOGI VEERANJANEYULU,Independent,-223179.0
Andhra Pradesh,Machilipatnam,DAMODARA RAO GUDAVALLI,Independent,-223179.0
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Janasena Party,-223179.0
Andhra Pradesh,Machilipatnam,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,-223179.0
Assam,Barpeta,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,-222351.0
Assam,Barpeta,MANORANJAN TALUKDAR,Communist Party of India  (Marxist),-222351.0
Assam,Barpeta,NOTA,None of the Above,-222351.0
Assam,Barpeta,ABUL KALAM AZAD,All India Trinamool Congress,-222351.0
Assam,Barpeta,DEWAN MOHIBUL ISLAM,Independent,-222351.0
Assam,Barpeta,SAMEJ UDDIN,Bodoland Peoples Front,-222351.0
Assam,Barpeta,DULU AHMED,Independent,-222351.0
Assam,Barpeta,MATIAR RAHMAN,Independent,-222351.0
Assam,Barpeta,JAGANNATH RAY,Independent,-222351.0
Assam,Barpeta,SHAJAHAN ALI KHAN,Voters Party  International,-222351.0
Assam,Barpeta,AYNAL HAQUE,Independent,-222351.0
Assam,Barpeta,CHITRALEKHA DAS,Socialist Unity Centre Of India (COMMUNIST),-222351.0
Assam,Barpeta,AMZAD ALI,Republican Party of India (Athawale),-222351.0
Assam,Barpeta,ABUBAKKAR SIDDIQUE,Rashtriya Ulama Council,-222351.0
Assam,Barpeta,DEEP BAYAN,Indian National Congress,-222351.0
Telangana,Bhongir,DHERAVATH GOPI NAIK,Jai Maha Bharath Party,-222170.0
Telangana,Bhongir,ERRA SURYAM,Viduthalai Chiruthaigal Katchi,-222170.0
Telangana,Bhongir,"KONGARI, MALLAIAH",Independent,-222170.0
Telangana,Bhongir,DR : MORIGADI KRISHNA,Independent,-222170.0
Telangana,Bhongir,KANDE. RAMARAJU,Independent,-222170.0
Telangana,Bhongir,KOTHOJU SRINIVASU,National Maha Sabha Party,-222170.0
Telangana,Bhongir,AMIREDDY KIRAN REDDY,Independent,-222170.0
Telangana,Bhongir,CHANDU NAYAK MEGAVATH,Independent,-222170.0
Telangana,Bhongir,KYAMA MALLESH,Bharat Rashtra Samithi,-222170.0
Telangana,Bhongir,MAHAMD JAHANGIR,Communist Party of India  (Marxist),-222170.0
Telangana,Bhongir,KARUNAKAR REDDY NALLA,Jai Bharat National Party,-222170.0
Telangana,Bhongir,KANDADI. MANIPAL REDDY,Telangana Republican Party,-222170.0
Telangana,Bhongir,UDARI MALLESH,Independent,-222170.0
Telangana,Bhongir,ANIL KUMAR GADEPAKA,Independent,-222170.0
Telangana,Bhongir,RAMESH GOUD THALLAPELLY,Alliance of Democratic Reforms Party,-222170.0
Telangana,Bhongir,AITARAJU ABENDER,Bahujan Samaj Party,-222170.0
Telangana,Bhongir,ASURA BALU,Independent,-222170.0
Telangana,Bhongir,PENTA RAMESH,Independent,-222170.0
Telangana,Bhongir,JANGA. SUJATHANAVEEN REDDY,Independent,-222170.0
Telangana,Bhongir,NARRI. SWAMY KURUMA,Independent,-222170.0
Telangana,Bhongir,KADIRE KIRAN KUMAR,Bahujan Republican  Socialist Party,-222170.0
Telangana,Bhongir,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,-222170.0
Telangana,Bhongir,M. GANESH,Pyramid Party of India,-222170.0
Telangana,Bhongir,MALLEBOINA PARAMESH YADAV,Independent,-222170.0
Telangana,Bhongir,LINGIDI. VENKATESWARLU,Prajavani  Party,-222170.0
Telangana,Bhongir,BETHI NARENDER,Independent,-222170.0
Telangana,Bhongir,KARINGULA YADAGIRI,Independent,-222170.0
Telangana,Bhongir,TARIGOPPULA MAHENDER,Social Justice Party of India,-222170.0
Telangana,Bhongir,KONGARI LINGA SWAMY,Dharma Samaj Party,-222170.0
Telangana,Bhongir,NARENDRAA VEMULA,Jai Swaraj Party,-222170.0
Telangana,Bhongir,POOSA SRINIVAS,Telangana Rashtra Punahnirmana Samithi,-222170.0
Telangana,Bhongir,V. SADANANDA REDDY,People Protection Party,-222170.0
Telangana,Bhongir,NOTA,None of the Above,-222170.0
Telangana,Bhongir,BUSHIPAKA VENKATAIAH,Independent,-222170.0
Telangana,Bhongir,PULIGILLA BIXAPATHI YADAV,National Nava Kranthi Party,-222170.0
Telangana,Bhongir,RACHA SUBHADRA REDDY,Socialist Party (India),-222170.0
Telangana,Bhongir,VARIKUPPALA. KRISHNA VADDERA,Independent,-222170.0
Telangana,Bhongir,BASHABOINA LAKSHMAIAH,Independent,-222170.0
Telangana,Bhongir,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,-222170.0
Telangana,Bhongir,NUNE VENKAT SWAMY,Independent,-222170.0
Uttar Pradesh,Mainpuri,MANJU PAL,Bhartiya Shakti Chetna Party,-221639.0
Uttar Pradesh,Mainpuri,SURESH CHANDRA,Independent,-221639.0
Uttar Pradesh,Mainpuri,NOTA,None of the Above,-221639.0
Uttar Pradesh,Mainpuri,NAND RAM BAGRI,Voters Party  International,-221639.0
Uttar Pradesh,Mainpuri,PRAMOD KUMAR,Independent,-221639.0
Uttar Pradesh,Mainpuri,SUNIL KUMAR MISHRA,Sarva Samaj Janata Party,-221639.0
Uttar Pradesh,Mainpuri,JAYVEER SINGH,Bharatiya Janata Party,-221639.0
Uttar Pradesh,Mainpuri,SHIV PRASAD YADAV,Bahujan Samaj Party,-221639.0
Uttar Pradesh,Mainpuri,DIMPLE YADAV,Samajwadi Party,-221639.0
Tamil Nadu,KANCHEEPURAM,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,-221473.0
Tamil Nadu,KANCHEEPURAM,JOTHI. V,Pattali Makkal Katchi,-221473.0
Tamil Nadu,KANCHEEPURAM,SANTHOSH KUMAR. V,Naam Tamilar Katchi,-221473.0
Tamil Nadu,KANCHEEPURAM,ILAYARAJA. S,Bahujan Samaj Party,-221473.0
Tamil Nadu,KANCHEEPURAM,VENKATESAN. K,Independent,-221473.0
Tamil Nadu,KANCHEEPURAM,NARESH BHARATHI. S,Independent,-221473.0
Tamil Nadu,KANCHEEPURAM,ELANGOVAN. M,Independent,-221473.0
Tamil Nadu,KANCHEEPURAM,SURYA. A,Independent,-221473.0
Tamil Nadu,KANCHEEPURAM,RAMESH. S,Independent,-221473.0
Tamil Nadu,KANCHEEPURAM,SELVAM. T,Independent,-221473.0
Tamil Nadu,KANCHEEPURAM,NOTA,None of the Above,-221473.0
Tamil Nadu,KANCHEEPURAM,SELVAM. G,Dravida Munnetra Kazhagam,-221473.0
Jharkhand,Chatra,KALI CHARAN SINGH,Bharatiya Janata Party,-220959.0
Jharkhand,Chatra,ARJUN KUMAR,Communist Party of India,-220959.0
Jharkhand,Chatra,DR. ABHISHEK KUMAR SINGH,Independent,-220959.0
Jharkhand,Chatra,ARJUN PRAJAPATI,Independent,-220959.0
Jharkhand,Chatra,DEEPAK KUMAR GUPTA,Independent,-220959.0
Jharkhand,Chatra,NAGMANI,Bahujan Samaj Party,-220959.0
Jharkhand,Chatra,NOTA,None of the Above,-220959.0
Jharkhand,Chatra,CHANDAN KUMAR,Independent,-220959.0
Jharkhand,Chatra,MD ABUZAR KHAN,Independent,-220959.0
Jharkhand,Chatra,AMIT KUMAR SINGH,Independent,-220959.0
Jharkhand,Chatra,YOGESH KUMAR SINGH,Independent,-220959.0
Jharkhand,Chatra,KARMLAL ORAON,Peoples Party of India (Democratic),-220959.0
Jharkhand,Chatra,SUMIT KUMAR YADAV,Samata Party,-220959.0
Jharkhand,Chatra,SANJAY KUMAR SNEHI,Lokhit Adhikar Party,-220959.0
Jharkhand,Chatra,MAHESH BANDO,Bahujan Mukti Party,-220959.0
Jharkhand,Chatra,SRIRAM SINGH,Independent,-220959.0
Jharkhand,Chatra,DARSHAN GANJHU,Jharkhand Party,-220959.0
Jharkhand,Chatra,DULESHWAR SAW,Bharatheeya Jawan Kisan Party,-220959.0
Jharkhand,Chatra,LAW KUMAR PANDIT,Bhagidari Party(P),-220959.0
Jharkhand,Chatra,BIMAL LAKRA,Ambedkarite Party of India,-220959.0
Jharkhand,Chatra,KRISHNA NAND TRIPATHI,Indian National Congress,-220959.0
Jharkhand,Chatra,KAMDEO DIHO RANA,Rashtriya Jan Utkarsh Party,-220959.0
Jharkhand,Chatra,VIKRANT KUMAR SINGH,Independent,-220959.0
Andhra Pradesh,Chittoor,N.CHANDRABABU,Independent,-220479.0
Andhra Pradesh,Chittoor,N.GANGAIAH .,Independent,-220479.0
Andhra Pradesh,Chittoor,PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,-220479.0
Andhra Pradesh,Chittoor,A. PURNA CHANDRA,Independent,-220479.0
Andhra Pradesh,Chittoor,N.BHUPATHI,Independent,-220479.0
Andhra Pradesh,Chittoor,P.MADHU,Independent,-220479.0
Andhra Pradesh,Chittoor,D.MAHESH,Independent,-220479.0
Andhra Pradesh,Chittoor,MADASI SUDHARSHAN,Independent,-220479.0
Andhra Pradesh,Chittoor,T NARESH,Independent,-220479.0
Andhra Pradesh,Chittoor,C.SUDHAKAR,Independent,-220479.0
Andhra Pradesh,Chittoor,P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,-220479.0
Andhra Pradesh,Chittoor,K.MUNI KRISHNA,Independent,-220479.0
Andhra Pradesh,Chittoor,YUGANDAR . KONDA,Independent,-220479.0
Andhra Pradesh,Chittoor,NOTA,None of the Above,-220479.0
Andhra Pradesh,Chittoor,THOGURU VIJAYA KUMAR,Bahujan Samaj Party,-220479.0
Andhra Pradesh,Chittoor,MOTUKUR JAGAPATHI,Indian National Congress,-220479.0
Andhra Pradesh,Chittoor,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,-220479.0
Andhra Pradesh,Chittoor,DAGGUMALLA PRASADA RAO,Telugu Desam,-220479.0
Andhra Pradesh,Chittoor,PETA.MOHAN .,Independent,-220479.0
Andhra Pradesh,Chittoor,BANDAPALLI RAMESH,Independent,-220479.0
Telangana,Warangal,KADIYAM KAVYA,Indian National Congress,-220339.0
Telangana,Warangal,MACHA DEVENDER,Viduthalai Chiruthaigal Katchi,-220339.0
Telangana,Warangal,AROORI RAMESH,Bharatiya Janata Party,-220339.0
Telangana,Warangal,NARMADA PRAVEEN,Pyramid Party of India,-220339.0
Telangana,Warangal,NOTA,None of the Above,-220339.0
Telangana,Warangal,Dr GADAM MALLESH,Jai Bharat National Party,-220339.0
Telangana,Warangal,RAMESH BABU SHANIGARAPU,Independent,-220339.0
Telangana,Warangal,GANIPAKA PRADEEP,Independent,-220339.0
Telangana,Warangal,KONGARA ANIL KUMAR,Independent,-220339.0
Telangana,Warangal,ANIL KUMAR GADEPAKA,Independent,-220339.0
Telangana,Warangal,BUNGA JYOTHI RAMANA,Aihra National Party,-220339.0
Telangana,Warangal,MEKALA SUMAN,Dharma Samaj Party,-220339.0
Telangana,Warangal,AR NENA PREM READY RIPEEKA,Mana Telangana Rashtra Samaikya Party,-220339.0
Telangana,Warangal,THALLAPALLY VENKATAIAH,Independent,-220339.0
Telangana,Warangal,KOYYADA NARESH,Independent,-220339.0
Telangana,Warangal,BARIGELA SHIVA,Independent,-220339.0
Telangana,Warangal,S P K  SAGAR,Jai Maha Bharath Party,-220339.0
Telangana,Warangal,PASULA RAVI,Republican Party of India (Athawale),-220339.0
Telangana,Warangal,GADDAM CHIRANJEEVI,Independent,-220339.0
Telangana,Warangal,MOTHKUPELLY PRABHAKAR,Independent,-220339.0
Telangana,Warangal,GANNARAPU RAVINDER,Independent,-220339.0
Telangana,Warangal,DEVARAJU PENDELA,Rashtriya Praja Congress  (Secular),-220339.0
Telangana,Warangal,POTHARAJU NARASIMHARAJU,Independent,-220339.0
Telangana,Warangal,PRAMEELA JANNU,Independent,-220339.0
Telangana,Warangal,BASHIPAKA SUDHAKAR,Independent,-220339.0
Telangana,Warangal,BOLLAM VIJAY KUMAR,Independent,-220339.0
Telangana,Warangal,CHILUVERU PRATHAP,Independent,-220339.0
Telangana,Warangal,ROOPA POLEPAKA,Independent,-220339.0
Telangana,Warangal,DHAYAKAR GAJJI,Independent,-220339.0
Telangana,Warangal,POGULA ASHOK,Independent,-220339.0
Telangana,Warangal,THANDRA ESHWAR,Independent,-220339.0
Telangana,Warangal,RK GANAPURAM,Independent,-220339.0
Telangana,Warangal,KOTHAPALLI SAVITHRI,Marxist Communist Party of India (United),-220339.0
Telangana,Warangal,Dr. MARAPALLY SUDHEER KUMAR,Bharat Rashtra Samithi,-220339.0
Telangana,Warangal,MANDA NARESH,Independent,-220339.0
Telangana,Warangal,KALPANA PANJA,Bahujan Samaj Party,-220339.0
Telangana,Warangal,BOCHU RAJU,Independent,-220339.0
Telangana,Warangal,PUTTA VINOD KUMAR,Independent,-220339.0
Telangana,Warangal,PAITHARA ACHYUTH,Independent,-220339.0
Telangana,Warangal,THATIKAYALA SATHISH BABU,Independent,-220339.0
Telangana,Warangal,CHILUMULLA SUJATHA,Independent,-220339.0
Telangana,Warangal,AMBOJU BUDDAIAH,Alliance of Democratic Reforms Party,-220339.0
Telangana,Warangal,MANGALAPELLI ASHAIAH,Independent,-220339.0
Odisha,Mayurbhanj,ANJANI SOREN,Jharkhand Mukti Morcha,-219334.0
Odisha,Mayurbhanj,SUDAM MARNDI,Biju Janata Dal,-219334.0
Odisha,Mayurbhanj,NABA CHARAN MAJHI,Bharatiya Janata Party,-219334.0
Odisha,Mayurbhanj,GURU  CHARAN HEMBRAM,Bharatheeya Jawan Kisan Party,-219334.0
Odisha,Mayurbhanj,SUKANTA HEMBRAM,Bharatiya Nyay-Adhikar Raksha Party,-219334.0
Odisha,Mayurbhanj,KANHU CHARAN TUDU,Independent,-219334.0
Odisha,Mayurbhanj,RABINDRA NATH SINGH,Independent,-219334.0
Odisha,Mayurbhanj,ASHOK KUMAR SING,Independent,-219334.0
Odisha,Mayurbhanj,JATIA SAWAYAN,Bahujan Samaj Party,-219334.0
Odisha,Mayurbhanj,SANTILATA CHATTAR,Independent,-219334.0
Odisha,Mayurbhanj,PITAMBAR NAIK,Socialist Unity Centre Of India (COMMUNIST),-219334.0
Odisha,Mayurbhanj,ANTA ALOK BASKEY,AJSU Party,-219334.0
Odisha,Mayurbhanj,BAJUN HANSDA,Independent,-219334.0
Odisha,Mayurbhanj,NOTA,None of the Above,-219334.0
West Bengal,Uluberia,NIKHIL BERA,Socialist Unity Centre Of India (COMMUNIST),-218673.0
West Bengal,Uluberia,NOTA,None of the Above,-218673.0
West Bengal,Uluberia,SAJDA AHMED,All India Trinamool Congress,-218673.0
West Bengal,Uluberia,SK. SAPIYAR ALI,Independent,-218673.0
West Bengal,Uluberia,BIMALESH KUMAR HELA,Bahujan Samaj Party,-218673.0
West Bengal,Uluberia,RAMESH KHANRA,Independent,-218673.0
West Bengal,Uluberia,AMAL KUMAR DEYATI,Bharatiya Nyay-Adhikar Raksha Party,-218673.0
West Bengal,Uluberia,ARIT KARAK,Independent,-218673.0
West Bengal,Uluberia,RAMPRASAD GHORAI,Indian Unity Centre,-218673.0
West Bengal,Uluberia,AZAHAR MOLLICK,Indian National Congress,-218673.0
West Bengal,Uluberia,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,-218673.0
West Bengal,Uluberia,MOFIKUL ISLAM,All India Secular Front,-218673.0
West Bengal,Uluberia,AMAL KUMAR BARMAN,Independent,-218673.0
Madhya Pradesh,DHAR,RADHESHYAM MUVEL,Indian National Congress,-218665.0
Madhya Pradesh,DHAR,SAVITRI THAKUR,Bharatiya Janata Party,-218665.0
Madhya Pradesh,DHAR,NOTA,None of the Above,-218665.0
Madhya Pradesh,DHAR,VIKRAM VASUNIYA,Janata Congress,-218665.0
Madhya Pradesh,DHAR,SHIVAJI PATEL KALMI,Independent,-218665.0
Madhya Pradesh,DHAR,SUNIL AJRAWAT,Independent,-218665.0
Madhya Pradesh,DHAR,DHUMSINGH MANDLOI MACHHAR,Bahujan Samaj Party,-218665.0
Madhya Pradesh,DHAR,JITENDRA MUNIYA,Bharat Adivasi Party,-218665.0
Maharashtra,Thane,RAHUL JAGBIRSINGH MEHAROLIYA,Bahujan Republican  Socialist Party,-217011.0
Maharashtra,Thane,NARESH GANPAT MHASKE,Shiv Sena,-217011.0
Maharashtra,Thane,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),-217011.0
Maharashtra,Thane,NOTA,None of the Above,-217011.0
Maharashtra,Thane,SANTOSH BHIKAJI BHALERAO,Bahujan Samaj Party,-217011.0
Maharashtra,Thane,ADV. GURUDEV NARSINGH SURYAWANSHI,Independent,-217011.0
Maharashtra,Thane,SALIMA MUKTAR VASANI,Bahujan Maha Party,-217011.0
Maharashtra,Thane,RAJIV KONDIBA BHOSALE,Independent,-217011.0
Maharashtra,Thane,SANJAY MANOHAR MORE,Independent,-217011.0
Maharashtra,Thane,KHAJASAB RASULSAB MULLA,Independent,-217011.0
Maharashtra,Thane,MALLIKARJUN SAYBANNA PUJARI,Independent,-217011.0
Maharashtra,Thane,SAWALE DATTATRAY SITARAM,Independent,-217011.0
Maharashtra,Thane,SURENDRAKUMAR K. JAIN,Independent,-217011.0
Maharashtra,Thane,SIDDHANT CHHABAN SHIRSAT,Independent,-217011.0
Maharashtra,Thane,MUKESH KAILASNATH TIWARI,Bhim Sena,-217011.0
Maharashtra,Thane,JHA SUBHASH CHANDRA,Sardar Vallabhbhai Patel Party,-217011.0
Maharashtra,Thane,DR. PIYUSH K. SAXENA,Independent,-217011.0
Maharashtra,Thane,VIJAY DNYANOBA GHATE,Republican Bahujan Sena,-217011.0
Maharashtra,Thane,CHANDRAKANT VITTHAL SONAWANE,Independent,-217011.0
Maharashtra,Thane,PRAMOD ANANDRAO DHUMAL,Independent,-217011.0
Maharashtra,Thane,BHANWARLAL KHETMAL MEHTA,Hindu Samaj Party,-217011.0
Maharashtra,Thane,UTTAM KISANRAO TIRPUDE,Peoples Party of India (Democratic),-217011.0
Maharashtra,Thane,ARCHANA DINKAR GAIKWAD,Independent,-217011.0
Maharashtra,Thane,RAJENDRA RAMCHANDRA SANKHE,Bharatheeya Jawan Kisan Party,-217011.0
Maharashtra,Thane,IRFAN IBRAHIM SHAIKH,Independent,-217011.0
Uttar Pradesh,Barabanki,RAMLAKHAN PASI,Independent,-215704.0
Uttar Pradesh,Barabanki,DEVATADEEN GAUTAM,Independent,-215704.0
Uttar Pradesh,Barabanki,ASHA DEVI,Swatantrata Abhivyakti Party,-215704.0
Uttar Pradesh,Barabanki,PROF. (DR.) RAM GHULAM RAZDAN,Public Adhikar Socialist Indian Party,-215704.0
Uttar Pradesh,Barabanki,MAHENDRA KUMAR RAWAT,Awami Samta Party,-215704.0
Uttar Pradesh,Barabanki,BABOORAM,Independent,-215704.0
Uttar Pradesh,Barabanki,MITHALESH KUMARI,Independent,-215704.0
Uttar Pradesh,Barabanki,SHIV KUMAR DOHAREY,Bahujan Samaj Party,-215704.0
Uttar Pradesh,Barabanki,RAJRANI RAWAT,Bharatiya Janata Party,-215704.0
Uttar Pradesh,Barabanki,TANUJ PUNIA,Indian National Congress,-215704.0
Uttar Pradesh,Barabanki,OMKAR,Independent,-215704.0
Uttar Pradesh,Barabanki,ADVOCATE SANTOSH RAWAT,Dr. Bhimrao Ambedkar Dal,-215704.0
Uttar Pradesh,Barabanki,PREMCHANDRA HARIJAN,Sardar Patel Siddhant Party,-215704.0
Uttar Pradesh,Barabanki,NOTA,None of the Above,-215704.0
Tamil Nadu,VELLORE,AFROSE,Independent,-215702.0
Tamil Nadu,VELLORE,A BEEMARAO MILINTHAR,United Republican Party of India,-215702.0
Tamil Nadu,VELLORE,DR S JAYARAJ,Independent,-215702.0
Tamil Nadu,VELLORE,A NATARAJAN,Bharatiya Praja Aikyata Party,-215702.0
Tamil Nadu,VELLORE,AC SHANMUGAM,Bharatiya Janata Party,-215702.0
Tamil Nadu,VELLORE,D MAHESH ANAND,Naam Tamilar Katchi,-215702.0
Tamil Nadu,VELLORE,DR S PASUPATHI,All India Anna Dravida Munnetra Kazhagam,-215702.0
Tamil Nadu,VELLORE,DM KATHIR ANAND,Dravida Munnetra Kazhagam,-215702.0
Tamil Nadu,VELLORE,N SIVAKUMAR,Independent,-215702.0
Tamil Nadu,VELLORE,NOTA,None of the Above,-215702.0
Tamil Nadu,VELLORE,MP SHANMUGAM,Independent,-215702.0
Tamil Nadu,VELLORE,K SHANMUGAM,Independent,-215702.0
Tamil Nadu,VELLORE,AHMED RAASHID PALLIMIRA,Independent,-215702.0
Tamil Nadu,VELLORE,G SHANMUGAM,Independent,-215702.0
Tamil Nadu,VELLORE,SHANMUGAVELU,Independent,-215702.0
Tamil Nadu,VELLORE,V KALIAPERUMAL,Ganasangam Party of India,-215702.0
Tamil Nadu,VELLORE,D SARAVANAN,Independent,-215702.0
Tamil Nadu,VELLORE,PASUPATHI,Independent,-215702.0
Tamil Nadu,VELLORE,S WILLIAM SATHYARAJ,Tamil Manila Murpokku Dravida Kazhagam,-215702.0
Tamil Nadu,VELLORE,B JAGAN,Independent,-215702.0
Tamil Nadu,VELLORE,K JAYAMANI,Bahujan Samaj Party,-215702.0
Tamil Nadu,VELLORE,NAGARAJ P,Independent,-215702.0
Tamil Nadu,VELLORE,M BABU,Independent,-215702.0
Tamil Nadu,VELLORE,SYED ALI D,Independent,-215702.0
Tamil Nadu,VELLORE,MANSOOR ALI KHAN,Independent,-215702.0
Tamil Nadu,VELLORE,PP JAYAPRAKASH,Independent,-215702.0
Tamil Nadu,VELLORE,C RAMACHANDHIRAN,Independent,-215702.0
Tamil Nadu,VELLORE,E RAJKUMAR,Independent,-215702.0
Tamil Nadu,VELLORE,T JOHNSON,Independent,-215702.0
Tamil Nadu,VELLORE,C MADHAVAN,Independent,-215702.0
Tamil Nadu,VELLORE,SHANMUGASUNDARAM,Independent,-215702.0
Tamil Nadu,VELLORE,P SHANMUGAM,Independent,-215702.0
Assam,Nagaon,SAIFUL ISLAM CHOUDHURY,Asom Jana Morcha,-212231.0
Assam,Nagaon,SANTANU MUKHERJEE,Bharatiya Gana Parishad,-212231.0
Assam,Nagaon,ABU EUSUF MD RAIHAN UDDIN,Independent,-212231.0
Assam,Nagaon,ABU SHAMA,Independent,-212231.0
Assam,Nagaon,NIKHIL DEKARAJA,Independent,-212231.0
Assam,Nagaon,RABBUL HAQUE,Rashtriya Ulama Council,-212231.0
Assam,Nagaon,BIPAD BHANJAN SARKAR,Independent,-212231.0
Assam,Nagaon,SAMSUL ALAM,Independent,-212231.0
Assam,Nagaon,SIKHA SARMA,Independent,-212231.0
Assam,Nagaon,NOTA,None of the Above,-212231.0
Assam,Nagaon,AMINUL ISLAM,All India United Democratic Front,-212231.0
Assam,Nagaon,SURESH BORAH,Bharatiya Janata Party,-212231.0
Assam,Nagaon,PRADYUT BORDOLOI,Indian National Congress,-212231.0
Assam,Nagaon,ANUPAM BARUAH,Jai Prakash Janata Dal,-212231.0
Gujarat,Valsad,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,-210704.0
Gujarat,Valsad,MANAKBHAI JATRUBHAI SHANKAR,Bahujan Samaj Party,-210704.0
Gujarat,Valsad,RAMANBHAI KARSHANBHAI PATEL,Independent,-210704.0
Gujarat,Valsad,NOTA,None of the Above,-210704.0
Gujarat,Valsad,JAYANTIBHAI KHANDUBHAI SHALUA,Viro Ke Vir Indian Party,-210704.0
Gujarat,Valsad,CHIRAGKUMAR BHARATBHAI  PATEL,Independent,-210704.0
Gujarat,Valsad,UMESHBHAI MAGANBHAI PATEL,Bahujan Republican  Socialist Party,-210704.0
Gujarat,Valsad,DHAVAL LAXMANBHAI  PATEL,Bharatiya Janata Party,-210704.0
Tamil Nadu,MADURAI,VENKATESAN S,Communist Party of India  (Marxist),-209409.0
Tamil Nadu,MADURAI,RAAMA SREENIVASAN,Bharatiya Janata Party,-209409.0
Tamil Nadu,MADURAI,SARAVANAN P,All India Anna Dravida Munnetra Kazhagam,-209409.0
Tamil Nadu,MADURAI,SATHYADEVI T,Naam Tamilar Katchi,-209409.0
Tamil Nadu,MADURAI,NOTA,None of the Above,-209409.0
Tamil Nadu,MADURAI,VELMURUGAN A,Bharatiya Praja Aikyata Party,-209409.0
Tamil Nadu,MADURAI,RAMAR PANDI T,Bahujan Samaj Party,-209409.0
Tamil Nadu,MADURAI,VENKATESAN M,Independent,-209409.0
Tamil Nadu,MADURAI,SHANMUGA SUNDARAM A,United Republican Party of India,-209409.0
